Timestamp,NT:/Pose/.type,NT:/Pose/robotPose,NT:/Pose/robotPose/0,NT:/Pose/robotPose/1,NT:/Pose/robotPose/2,NT:/Pose/robotPose/length
1.763594,"Field2d",null,null,null,null,null
1.763644,"Field2d",[0; 0; -0.29255889838956456],0,0,-0.29255889838956456,3
8.610991,"Field2d",[12.84576404494382; 2.8426516853932586; -3.141592653589793],12.84576404494382,2.8426516853932586,-3.141592653589793,3
8.616009,"Field2d",[12.84576404494382; 2.8426516853932586; 0.23062442407868183],12.84576404494382,2.8426516853932586,0.23062442407868183,3
8.630627,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2306244240786818],12.84576404494382,2.8426516853932586,0.2306244240786818,3
8.635789,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2583319520598667],12.84576404494382,2.8426516853932586,0.2583319520598667,3
8.655366,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2754933621243372],12.84576404494382,2.8426516853932586,0.2754933621243372,3
8.675807,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2843616885543009],12.84576404494382,2.8426516853932586,0.2843616885543009,3
8.695351,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2889636309179578],12.84576404494382,2.8426516853932586,0.2889636309179578,3
8.714961,"Field2d",[12.84576404494382; 2.8426516853932586; 0.29121666520016476],12.84576404494382,2.8426516853932586,0.29121666520016476,3
8.738875,"Field2d",[12.84576404494382; 2.8426516853932586; 0.29231921389145715],12.84576404494382,2.8426516853932586,0.29231921389145715,3
8.750385,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2923192138914571],12.84576404494382,2.8426516853932586,0.2923192138914571,3
8.754951,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2927985828876719],12.84576404494382,2.8426516853932586,0.2927985828876719,3
8.76743,"Field2d",[12.84576404494382; 2.8426516853932586; 0.29279858288767197],12.84576404494382,2.8426516853932586,0.29279858288767197,3
8.774695,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2929423935865365],12.84576404494382,2.8426516853932586,0.2929423935865365,3
8.79591,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2929903304861579],12.84576404494382,2.8426516853932586,0.2929903304861579,3
8.815162,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2929423935865366],12.84576404494382,2.8426516853932586,0.2929423935865366,3
8.854679,"Field2d",[12.84576404494382; 2.8426516853932586; 0.29289445668691527],12.84576404494382,2.8426516853932586,0.29289445668691527,3
8.870387,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2928944566869152],12.84576404494382,2.8426516853932586,0.2928944566869152,3
8.891697,"Field2d",[12.84576404494382; 2.8426516853932586; 0.29289445668691516],12.84576404494382,2.8426516853932586,0.29289445668691516,3
8.894978,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2928465197872934],12.84576404494382,2.8426516853932586,0.2928465197872934,3
8.915325,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2927985828876721],12.84576404494382,2.8426516853932586,0.2927985828876721,3
8.930873,"Field2d",[12.84576404494382; 2.8426516853932586; 0.29279858288767213],12.84576404494382,2.8426516853932586,0.29279858288767213,3
8.951436,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2927985828876722],12.84576404494382,2.8426516853932586,0.2927985828876722,3
8.954466,"Field2d",[12.84576404494382; 2.8426516853932586; 0.29275064598805084],12.84576404494382,2.8426516853932586,0.29275064598805084,3
8.970656,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2927506459880508],12.84576404494382,2.8426516853932586,0.2927506459880508,3
8.99163,"Field2d",[12.84576404494382; 2.8426516853932586; 0.29275064598805073],12.84576404494382,2.8426516853932586,0.29275064598805073,3
8.994459,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2927027090884294],12.84576404494382,2.8426516853932586,0.2927027090884294,3
9.054595,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2926547721888076],12.84576404494382,2.8426516853932586,0.2926547721888076,3
