Timestamp,NT:/Pose/.type,NT:/Pose/robotPose,NT:/Pose/robotPose/0,NT:/Pose/robotPose/1,NT:/Pose/robotPose/2,NT:/Pose/robotPose/length
15.276174,"Field2d",[0; 0; -0.29255889838956456],0,0,-0.29255889838956456,3
150.498418,"Field2d",[12.84576404494382; 2.8426516853932586; -3.141592653589793],12.84576404494382,2.8426516853932586,-3.141592653589793,3
150.509168,"Field2d",[12.84576404494382; 2.8426516853932586; 0.23062442407868183],12.84576404494382,2.8426516853932586,0.23062442407868183,3
150.517492,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2306244240786818],12.84576404494382,2.8426516853932586,0.2306244240786818,3
150.529672,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2583319520598667],12.84576404494382,2.8426516853932586,0.2583319520598667,3
150.55,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2754933621243372],12.84576404494382,2.8426516853932586,0.2754933621243372,3
150.570579,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2843616885543009],12.84576404494382,2.8426516853932586,0.2843616885543009,3
150.588805,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2889636309179578],12.84576404494382,2.8426516853932586,0.2889636309179578,3
150.608905,"Field2d",[12.84576404494382; 2.8426516853932586; 0.29121666520016476],12.84576404494382,2.8426516853932586,0.29121666520016476,3
150.629752,"Field2d",[12.84576404494382; 2.8426516853932586; 0.29231921389145715],12.84576404494382,2.8426516853932586,0.29231921389145715,3
150.637742,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2923192138914571],12.84576404494382,2.8426516853932586,0.2923192138914571,3
150.650458,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2927985828876719],12.84576404494382,2.8426516853932586,0.2927985828876719,3
150.656754,"Field2d",[12.84576404494382; 2.8426516853932586; 0.29279858288767197],12.84576404494382,2.8426516853932586,0.29279858288767197,3
150.668862,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2929423935865365],12.84576404494382,2.8426516853932586,0.2929423935865365,3
150.688797,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2929903304861579],12.84576404494382,2.8426516853932586,0.2929903304861579,3
150.710656,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2929423935865366],12.84576404494382,2.8426516853932586,0.2929423935865366,3
150.746593,"Field2d",[12.84576404494382; 2.8426516853932586; 0.29289445668691527],12.84576404494382,2.8426516853932586,0.29289445668691527,3
150.757156,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2928944566869152],12.84576404494382,2.8426516853932586,0.2928944566869152,3
150.777452,"Field2d",[12.84576404494382; 2.8426516853932586; 0.29289445668691516],12.84576404494382,2.8426516853932586,0.29289445668691516,3
150.790567,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2928465197872934],12.84576404494382,2.8426516853932586,0.2928465197872934,3
150.80957,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2927985828876721],12.84576404494382,2.8426516853932586,0.2927985828876721,3
150.816896,"Field2d",[12.84576404494382; 2.8426516853932586; 0.29279858288767213],12.84576404494382,2.8426516853932586,0.29279858288767213,3
150.837157,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2927985828876722],12.84576404494382,2.8426516853932586,0.2927985828876722,3
150.850186,"Field2d",[12.84576404494382; 2.8426516853932586; 0.29275064598805084],12.84576404494382,2.8426516853932586,0.29275064598805084,3
150.857288,"Field2d",[12.84576404494382; 2.8426516853932586; 0.2927506459880508],12.84576404494382,2.8426516853932586,0.2927506459880508,3
